"","alpha","nsamp","lamsim","nreps","meanlamest","stddevlamest","stderrlamest","pbiaslamest","meanrawlam","stddevrawlam","stderrrawlam","pbiasrawlam","npers"
"datt",0,10,0.0201,400,0.0201,0.00828,0.00041,0.09,0.0201,0.00832,0.00042,0.21,500
"resvec",0,20,0.0201,400,0.0193,0.00891,0.00045,-3.61,0.0194,0.00888,0.00044,-3.09,500
"resvec",0,40,0.0201,400,0.0193,0.00854,0.00043,-4.01,0.0193,0.00852,0.00043,-3.76,500
"resvec",0,100,0.0201,400,0.0201,0.00903,0.00045,0.35,0.0202,0.00907,0.00045,0.79,500
"resvec",0,200,0.0201,400,0.0205,0.00905,0.00045,2.27,0.0206,0.00916,0.00046,2.71,500
"resvec",0,10,0.0403,400,0.0403,0.0131,0.00066,0.09,0.0404,0.01317,0.00066,0.3,500
"resvec",0,20,0.0403,400,0.0401,0.01251,0.00063,-0.32,0.0402,0.01254,0.00063,-0.08,500
"resvec",0,40,0.0403,400,0.0402,0.01306,0.00065,-0.22,0.0402,0.01312,0.00066,-0.2,500
"resvec",0,100,0.0403,400,0.0398,0.01254,0.00063,-1.05,0.0399,0.01259,0.00063,-1.04,500
"resvec",0,200,0.0403,400,0.0401,0.01281,0.00064,-0.51,0.0402,0.013,0.00065,-0.1,500
"resvec",0,10,0.1017,400,0.1031,0.02008,0.001,1.36,0.1033,0.02063,0.00103,1.55,500
"resvec",0,20,0.1017,400,0.1012,0.01872,0.00094,-0.54,0.1013,0.01874,0.00094,-0.39,500
"resvec",0,40,0.1017,400,0.1026,0.02032,0.00102,0.88,0.1027,0.02045,0.00102,0.92,500
"resvec",0,100,0.1017,400,0.1014,0.01802,9e-04,-0.28,0.1013,0.0183,0.00091,-0.45,500
"resvec",0,200,0.1017,400,0.1021,0.02142,0.00107,0.37,0.1024,0.02181,0.00109,0.68,500
"resvec",0,10,0.2071,400,0.207,0.02738,0.00137,-0.09,0.2073,0.02822,0.00141,0.09,500
"resvec",0,20,0.2071,400,0.2066,0.02771,0.00139,-0.25,0.2078,0.02907,0.00145,0.32,500
"resvec",0,40,0.2071,400,0.207,0.02683,0.00134,-0.08,0.2073,0.0281,0.0014,0.08,500
"resvec",0,100,0.2071,400,0.2087,0.02763,0.00138,0.74,0.2088,0.02824,0.00141,0.78,500
"resvec",0,200,0.2071,400,0.2081,0.02795,0.0014,0.44,0.2077,0.02918,0.00146,0.24,500
"resvec",0,10,0.4308,400,0.43,0.03909,0.00195,-0.19,0.4281,0.04158,0.00208,-0.63,500
"resvec",0,20,0.4308,400,0.4328,0.0389,0.00194,0.46,0.4328,0.04236,0.00212,0.45,500
"resvec",0,40,0.4308,400,0.4308,0.03979,0.00199,0,0.4318,0.04318,0.00216,0.22,500
"resvec",0,100,0.4308,400,0.4301,0.03705,0.00185,-0.17,0.4305,0.03929,0.00196,-0.09,500
"resvec",0,200,0.4308,400,0.4284,0.03902,0.00195,-0.56,0.4283,0.04166,0.00208,-0.59,500
"resvec",0,10,0.6755,400,0.6739,0.04781,0.00239,-0.23,0.6743,0.05437,0.00272,-0.17,500
"resvec",0,20,0.6755,160,0.6832,0.04511,0.00357,1.15,0.6854,0.0525,0.00415,1.47,500
"resvec",0,40,0.6755,400,0.6794,0.04947,0.00247,0.58,0.6795,0.05528,0.00276,0.6,500
"resvec",0,100,0.6755,375,0.6728,0.04599,0.00237,-0.39,0.6748,0.05268,0.00272,-0.1,500
"resvec",0,200,0.6755,88,0.6705,0.04779,0.00509,-0.74,0.6709,0.05879,0.00627,-0.68,500
"resvec",1,10,0.0201,400,0.0196,0.00939,0.00047,-2.15,0.0189,0.00898,0.00045,-5.91,500
"resvec",1,20,0.0201,400,0.0207,0.00905,0.00045,3.18,0.0208,0.00884,0.00044,3.42,500
"resvec",1,40,0.0201,400,0.02,0.00937,0.00047,-0.3,0.0201,0.00931,0.00047,0.09,500
"resvec",1,100,0.0201,400,0.0203,0.00901,0.00045,1.34,0.0204,0.00896,0.00045,1.64,500
"resvec",1,200,0.0201,400,0.0187,0.00818,0.00041,-6.67,0.0188,0.00816,0.00041,-6.09,500
"resvec",1,10,0.0403,400,0.0403,0.01275,0.00064,-0.03,0.0386,0.01229,0.00061,-4.14,500
"resvec",1,20,0.0403,400,0.0408,0.01426,0.00071,1.31,0.0406,0.0143,0.00072,0.74,500
"resvec",1,40,0.0403,400,0.0408,0.01199,6e-04,1.42,0.0409,0.01196,6e-04,1.57,500
"resvec",1,100,0.0403,400,0.0413,0.01252,0.00063,2.67,0.0415,0.01253,0.00063,2.94,500
"resvec",1,200,0.0403,400,0.0399,0.01397,7e-04,-1.04,0.0401,0.01411,0.00071,-0.54,500
"resvec",1,10,0.1017,400,0.0998,0.0209,0.00105,-1.9,0.0954,0.02013,0.00101,-6.24,500
"resvec",1,20,0.1017,400,0.102,0.01949,0.00097,0.24,0.1018,0.01963,0.00098,0.09,500
"resvec",1,40,0.1017,400,0.1016,0.01936,0.00097,-0.16,0.1018,0.01959,0.00098,0.06,500
"resvec",1,100,0.1017,400,0.1029,0.02067,0.00103,1.18,0.1028,0.02099,0.00105,1.03,500
"resvec",1,200,0.1017,400,0.1022,0.01943,0.00097,0.49,0.1022,0.01981,0.00099,0.47,500
"resvec",1,10,0.2071,400,0.2082,0.02965,0.00148,0.5,0.1994,0.02866,0.00143,-3.74,500
"resvec",1,20,0.2071,400,0.2068,0.02887,0.00144,-0.15,0.2063,0.02945,0.00147,-0.4,500
"resvec",1,40,0.2071,400,0.2071,0.02786,0.00139,-0.04,0.2073,0.02894,0.00145,0.05,500
"resvec",1,100,0.2071,400,0.2082,0.02793,0.0014,0.52,0.2085,0.02944,0.00147,0.67,500
"resvec",1,200,0.2071,400,0.2051,0.02873,0.00144,-0.97,0.2057,0.02956,0.00148,-0.7,500
"resvec",1,10,0.4308,400,0.4307,0.04164,0.00208,-0.04,0.4116,0.04179,0.00209,-4.47,500
"resvec",1,20,0.4308,400,0.4276,0.04004,0.002,-0.76,0.4266,0.04037,0.00202,-0.98,500
"resvec",1,40,0.4308,400,0.429,0.03941,0.00197,-0.44,0.4289,0.04371,0.00219,-0.44,500
"resvec",1,100,0.4308,400,0.4301,0.04105,0.00205,-0.17,0.4291,0.04434,0.00222,-0.4,500
"resvec",1,200,0.4308,400,0.4279,0.03829,0.00191,-0.68,0.4275,0.04171,0.00209,-0.78,500
"resvec",1,10,0.6755,400,0.6798,0.04746,0.00237,0.65,0.6498,0.04885,0.00244,-3.8,500
"resvec",1,20,0.6755,400,0.6758,0.04816,0.00241,0.05,0.6755,0.05081,0.00254,0,500
"resvec",1,40,0.6755,400,0.6759,0.04948,0.00247,0.06,0.6775,0.05511,0.00276,0.3,500
"resvec",1,100,0.6755,400,0.6714,0.04424,0.00221,-0.61,0.6728,0.04993,0.0025,-0.4,500
"resvec",1,200,0.6755,361,0.6737,0.04543,0.00239,-0.27,0.6745,0.05161,0.00272,-0.14,500
"resvec",2,10,0.0201,400,0.0206,0.01082,0.00054,2.57,0.0149,0.00764,0.00038,-25.67,500
"resvec",2,20,0.0201,400,0.0202,0.00947,0.00047,0.85,0.0187,0.00868,0.00043,-6.67,500
"resvec",2,40,0.0201,400,0.0198,0.00929,0.00046,-1.1,0.0198,0.0092,0.00046,-1.33,500
"resvec",2,100,0.0201,400,0.0193,0.00922,0.00046,-4.01,0.0193,0.00906,0.00045,-3.99,500
"resvec",2,200,0.0201,400,0.0205,0.00885,0.00044,2.3,0.0205,0.00886,0.00044,2.29,500
"resvec",2,10,0.0403,400,0.0405,0.01434,0.00072,0.5,0.0291,0.01026,0.00051,-27.77,500
"resvec",2,20,0.0403,400,0.0405,0.01465,0.00073,0.53,0.0373,0.0135,0.00067,-7.37,500
"resvec",2,40,0.0403,400,0.0406,0.01323,0.00066,0.78,0.0403,0.0131,0.00066,0.12,500
"resvec",2,100,0.0403,400,0.0406,0.01188,0.00059,0.85,0.0406,0.01185,0.00059,0.74,500
"resvec",2,200,0.0403,400,0.041,0.01348,0.00067,1.71,0.0409,0.01358,0.00068,1.61,500
"resvec",2,10,0.1017,400,0.1017,0.02258,0.00113,-0.01,0.073,0.01614,0.00081,-28.24,500
"resvec",2,20,0.1017,400,0.102,0.0213,0.00107,0.23,0.0939,0.01965,0.00098,-7.71,500
"resvec",2,40,0.1017,400,0.1012,0.0212,0.00106,-0.53,0.1007,0.02118,0.00106,-1,500
"resvec",2,100,0.1017,400,0.0998,0.02007,0.001,-1.88,0.1,0.02016,0.00101,-1.73,500
"resvec",2,200,0.1017,400,0.1032,0.01988,0.00099,1.47,0.1032,0.02019,0.00101,1.45,500
"resvec",2,10,0.2071,400,0.2059,0.03569,0.00178,-0.62,0.1471,0.02566,0.00128,-29.01,500
"resvec",2,20,0.2071,400,0.2058,0.02921,0.00146,-0.64,0.1896,0.02707,0.00135,-8.47,500
"resvec",2,40,0.2071,400,0.208,0.02869,0.00143,0.41,0.2065,0.02914,0.00146,-0.3,500
"resvec",2,100,0.2071,400,0.2067,0.02733,0.00137,-0.23,0.2068,0.02804,0.0014,-0.16,500
"resvec",2,200,0.2071,400,0.2089,0.02854,0.00143,0.83,0.2086,0.02897,0.00145,0.69,500
"resvec",2,10,0.4308,400,0.4344,0.04893,0.00245,0.83,0.3078,0.03446,0.00172,-28.56,500
"resvec",2,20,0.4308,400,0.4298,0.04429,0.00221,-0.25,0.395,0.04172,0.00209,-8.32,500
"resvec",2,40,0.4308,400,0.4317,0.04125,0.00206,0.19,0.4292,0.04166,0.00208,-0.38,500
"resvec",2,100,0.4308,400,0.4342,0.03915,0.00196,0.78,0.4335,0.0414,0.00207,0.62,500
"resvec",2,200,0.4308,400,0.4338,0.04009,0.002,0.68,0.434,0.04177,0.00209,0.73,500
"resvec",2,10,0.6755,400,0.6727,0.0634,0.00317,-0.41,0.4728,0.04403,0.0022,-30,500
"resvec",2,20,0.6755,400,0.6725,0.05178,0.00259,-0.44,0.6169,0.04918,0.00246,-8.67,500
"resvec",2,40,0.6755,400,0.6735,0.04713,0.00236,-0.29,0.6694,0.0501,0.00251,-0.9,500
"resvec",2,100,0.6755,400,0.6794,0.04712,0.00236,0.59,0.6795,0.051,0.00255,0.59,500
"resvec",2,200,0.6755,400,0.6753,0.04857,0.00243,-0.03,0.6764,0.05363,0.00268,0.13,500
"resvec",3,10,0.0201,400,0.021,0.01536,0.00077,4.53,0.0088,0.00509,0.00025,-56.07,500
"resvec",3,20,0.0201,400,0.0212,0.01207,6e-04,5.88,0.0134,0.0072,0.00036,-33.13,500
"resvec",3,40,0.0201,400,0.0204,0.01012,0.00051,1.74,0.0176,0.00843,0.00042,-12.09,500
"resvec",3,100,0.0201,400,0.0189,0.00857,0.00043,-5.87,0.0188,0.00844,0.00042,-6.42,500
"resvec",3,200,0.0201,400,0.0197,0.00857,0.00043,-1.8,0.0197,0.00855,0.00043,-1.67,500
"resvec",3,10,0.0403,400,0.0408,0.02092,0.00105,1.41,0.0158,0.00777,0.00039,-60.75,500
"resvec",3,20,0.0403,400,0.0387,0.01603,8e-04,-3.91,0.024,0.00989,0.00049,-40.29,500
"resvec",3,40,0.0403,400,0.0401,0.01324,0.00066,-0.42,0.0343,0.01132,0.00057,-14.71,500
"resvec",3,100,0.0403,400,0.041,0.01353,0.00068,1.79,0.0407,0.01347,0.00067,1.08,500
"resvec",3,200,0.0403,400,0.0397,0.01318,0.00066,-1.36,0.0397,0.01318,0.00066,-1.51,500
"resvec",3,10,0.1017,400,0.1006,0.03311,0.00166,-1.13,0.0384,0.01247,0.00062,-62.29,500
"resvec",3,20,0.1017,400,0.1003,0.02624,0.00131,-1.36,0.062,0.01615,0.00081,-39.06,500
"resvec",3,40,0.1017,400,0.1029,0.02199,0.0011,1.11,0.088,0.01882,0.00094,-13.5,500
"resvec",3,100,0.1017,400,0.102,0.0201,0.001,0.28,0.1012,0.02004,0.001,-0.47,500
"resvec",3,200,0.1017,400,0.1008,0.01917,0.00096,-0.95,0.1007,0.01888,0.00094,-0.98,500
"resvec",3,10,0.2071,400,0.2096,0.05064,0.00253,1.17,0.079,0.01869,0.00093,-61.86,500
"resvec",3,20,0.2071,400,0.2065,0.03854,0.00193,-0.3,0.1268,0.02339,0.00117,-38.79,500
"resvec",3,40,0.2071,400,0.2072,0.03013,0.00151,0.05,0.1769,0.02574,0.00129,-14.62,500
"resvec",3,100,0.2071,400,0.2077,0.02914,0.00146,0.28,0.2059,0.02889,0.00144,-0.62,500
"resvec",3,200,0.2071,400,0.2074,0.02859,0.00143,0.13,0.2076,0.0287,0.00143,0.24,500
"resvec",3,10,0.4308,400,0.4327,0.07204,0.0036,0.43,0.1595,0.02534,0.00127,-62.97,500
"resvec",3,20,0.4308,400,0.4365,0.05556,0.00278,1.32,0.2641,0.03278,0.00164,-38.69,500
"resvec",3,40,0.4308,400,0.4303,0.04698,0.00235,-0.12,0.3652,0.03956,0.00198,-15.23,500
"resvec",3,100,0.4308,400,0.4307,0.0422,0.00211,-0.04,0.4273,0.04274,0.00214,-0.83,500
"resvec",3,200,0.4308,400,0.4301,0.04028,0.00201,-0.18,0.4304,0.04127,0.00206,-0.1,500
"resvec",3,10,0.6755,400,0.6736,0.09022,0.00451,-0.27,0.242,0.0301,0.00151,-64.17,500
"resvec",3,20,0.6755,400,0.6728,0.07342,0.00367,-0.4,0.4004,0.04138,0.00207,-40.73,500
"resvec",3,40,0.6755,400,0.6754,0.05791,0.0029,-0.02,0.5699,0.04862,0.00243,-15.63,500
"resvec",3,100,0.6755,400,0.6697,0.05255,0.00263,-0.85,0.6645,0.05251,0.00263,-1.63,500
"resvec",3,200,0.6755,400,0.6725,0.04772,0.00239,-0.43,0.6729,0.04965,0.00248,-0.38,500
"resvec",4,10,0.0201,400,0.0196,0.02158,0.00108,-2.28,0.0054,0.00222,0.00011,-72.93,500
"resvec",4,20,0.0201,400,0.02,0.01564,0.00078,-0.15,0.0072,0.0037,0.00018,-64.09,500
"resvec",4,40,0.0201,400,0.0212,0.01269,0.00063,5.54,0.0113,0.00602,3e-04,-43.8,500
"resvec",4,100,0.0201,400,0.0208,0.01012,0.00051,3.65,0.0174,0.00837,0.00042,-13.11,500
"resvec",4,200,0.0201,400,0.0202,0.00909,0.00045,0.83,0.0198,0.00876,0.00044,-1.54,500
"resvec",4,10,0.0403,400,0.041,0.03262,0.00163,1.78,0.0077,0.00452,0.00023,-80.95,500
"resvec",4,20,0.0403,400,0.0402,0.0226,0.00113,-0.23,0.0125,0.00643,0.00032,-69,500
"resvec",4,40,0.0403,400,0.0392,0.01628,0.00081,-2.7,0.0202,0.0083,0.00042,-49.78,500
"resvec",4,100,0.0403,400,0.0408,0.01451,0.00073,1.21,0.0341,0.01212,0.00061,-15.35,500
"resvec",4,200,0.0403,400,0.0397,0.01296,0.00065,-1.41,0.0387,0.01262,0.00063,-4.01,500
"resvec",4,10,0.1017,400,0.1034,0.04968,0.00248,1.66,0.017,0.00796,4e-04,-83.29,500
"resvec",4,20,0.1017,400,0.1009,0.03872,0.00194,-0.84,0.0304,0.01151,0.00058,-70.12,500
"resvec",4,40,0.1017,400,0.1023,0.02923,0.00146,0.58,0.0524,0.01485,0.00074,-48.48,500
"resvec",4,100,0.1017,400,0.1009,0.02254,0.00113,-0.84,0.0842,0.01878,0.00094,-17.24,500
"resvec",4,200,0.1017,400,0.1021,0.01965,0.00098,0.34,0.0993,0.019,0.00095,-2.4,500
"resvec",4,10,0.2071,400,0.2078,0.07298,0.00365,0.32,0.0335,0.0114,0.00057,-83.82,500
"resvec",4,20,0.2071,400,0.2041,0.05285,0.00264,-1.46,0.0607,0.01533,0.00077,-70.71,500
"resvec",4,40,0.2071,400,0.2088,0.04063,0.00203,0.79,0.106,0.02029,0.00101,-48.85,500
"resvec",4,100,0.2071,400,0.2057,0.03107,0.00155,-0.7,0.1714,0.02578,0.00129,-17.26,500
"resvec",4,200,0.2071,400,0.2076,0.02898,0.00145,0.2,0.2018,0.02815,0.00141,-2.57,500
"resvec",4,10,0.4308,400,0.4299,0.11181,0.00559,-0.22,0.067,0.01629,0.00081,-84.44,500
"resvec",4,20,0.4308,400,0.427,0.07731,0.00387,-0.89,0.1235,0.02112,0.00106,-71.34,500
"resvec",4,40,0.4308,400,0.4309,0.06409,0.0032,0,0.2143,0.03064,0.00153,-50.25,500
"resvec",4,100,0.4308,400,0.4284,0.04549,0.00227,-0.56,0.3544,0.03726,0.00186,-17.74,500
"resvec",4,200,0.4308,400,0.4341,0.04301,0.00215,0.75,0.4218,0.04192,0.0021,-2.11,500
"resvec",4,10,0.6755,386,0.6732,0.15387,0.00783,-0.33,0.1013,0.02101,0.00107,-85,500
"resvec",5,10,0.0201,400,0.0187,0.03393,0.0017,-6.66,0.0049,0.00087,4e-05,-75.55,500
"resvec",5,20,0.0201,400,0.0186,0.02479,0.00124,-7.25,0.0051,0.0017,9e-05,-74.41,500
"resvec",5,40,0.0201,400,0.0198,0.01828,0.00091,-1.56,0.0062,0.00306,0.00015,-68.87,500
"resvec",5,100,0.0201,400,0.0194,0.01203,6e-04,-3.24,0.01,0.00531,0.00027,-50.33,500
"resvec",5,200,0.0201,400,0.0204,0.01067,0.00053,1.58,0.0152,0.0077,0.00038,-24.35,500
"resvec",5,10,0.0403,400,0.0368,0.04702,0.00235,-8.54,0.0051,0.00153,8e-05,-87.24,500
"resvec",5,20,0.0403,400,0.0397,0.03639,0.00182,-1.31,0.0065,0.00334,0.00017,-83.91,500
"resvec",5,40,0.0403,400,0.0412,0.02789,0.00139,2.41,0.0103,0.00582,0.00029,-74.51,500
"resvec",5,100,0.0403,400,0.0408,0.01877,0.00094,1.27,0.02,0.009,0.00045,-50.41,500
"resvec",5,200,0.0403,400,0.0391,0.01317,0.00066,-2.95,0.0288,0.00968,0.00048,-28.37,500
"resvec",5,10,0.1017,400,0.0984,0.08228,0.00411,-3.25,0.0075,0.00407,2e-04,-92.63,500
"resvec",5,20,0.1017,400,0.1023,0.05569,0.00278,0.58,0.013,0.00644,0.00032,-87.26,500
"resvec",5,40,0.1017,400,0.1012,0.04344,0.00217,-0.5,0.0236,0.0099,0.00049,-76.8,500
"resvec",5,100,0.1017,400,0.1022,0.0308,0.00154,0.47,0.0495,0.01481,0.00074,-51.31,500
"resvec",5,200,0.1017,400,0.1027,0.02287,0.00114,0.97,0.0756,0.01675,0.00084,-25.72,500
"resvec",5,10,0.2071,400,0.2022,0.11231,0.00562,-2.37,0.0129,0.00653,0.00033,-93.76,500
"resvec",5,20,0.2071,386,0.2129,0.08451,0.0043,2.77,0.026,0.00988,5e-04,-87.46,500
"resvec",5,10,0.4308,264,0.4255,0.17641,0.01086,-1.24,0.0258,0.00993,0.00061,-94.02,500
"resvec",5,10,0.6755,214,0.6835,0.21741,0.01486,1.19,0.04,0.01189,0.00081,-94.08,500
