"","lamsim","nsamp","npers","totsamp","alpha","meanlamest","stddevlamest","stderrlamest","pbiaslamest","nreps"
"181",0.0201,2,500,1000,1,0.0211,0.01302,0.00029,5.02,2000
"182",0.0201,3,333,1000,1,0.0217,0.0128,0.00029,8.03,2000
"183",0.0201,4,250,1000,1,0.0218,0.01353,3e-04,8.75,2000
"184",0.0201,5,200,1000,1,0.0218,0.01339,3e-04,8.7,2000
"185",0.0201,6,167,1000,1,0.0227,0.01415,0.00032,13.06,2000
"186",0.0403,2,500,1000,1,0.0404,0.01998,0.00045,0.38,2000
"187",0.0403,3,333,1000,1,0.0396,0.01916,0.00043,-1.55,2000
"188",0.0403,4,250,1000,1,0.0407,0.02059,0.00046,1.11,2000
"189",0.0403,5,200,1000,1,0.041,0.0221,0.00049,1.89,2000
"190",0.0403,6,167,1000,1,0.0413,0.02322,0.00052,2.51,2000
"191",0.1017,2,500,1000,1,0.0999,0.0317,0.00071,-1.83,2000
"192",0.1017,3,333,1000,1,0.1016,0.03133,7e-04,-0.08,2000
"193",0.1017,4,250,1000,1,0.1019,0.03279,0.00073,0.22,2000
"194",0.1017,5,200,1000,1,0.1012,0.036,0.00081,-0.49,2000
"195",0.1017,6,167,1000,1,0.1023,0.0391,0.00087,0.58,2000
"196",0.2071,2,500,1000,1,0.2061,0.04592,0.00103,-0.49,2000
"197",0.2071,3,333,1000,1,0.2077,0.04749,0.00106,0.26,2000
"198",0.2071,4,250,1000,1,0.2055,0.04755,0.00106,-0.79,2000
"199",0.2071,5,200,1000,1,0.2075,0.05035,0.00113,0.19,2000
"200",0.2071,6,167,1000,1,0.2077,0.05462,0.00122,0.29,2000
"201",0.4308,2,500,1000,1,0.4304,0.06769,0.00151,-0.1,2000
"202",0.4308,3,333,1000,1,0.4326,0.06727,0.0015,0.41,2000
"203",0.4308,4,250,1000,1,0.4297,0.07054,0.00158,-0.26,2000
"204",0.4308,5,200,1000,1,0.4291,0.07043,0.00157,-0.41,2000
"205",0.4308,6,167,1000,1,0.433,0.07695,0.00172,0.5,2000
"206",0.6755,2,500,1000,1,0.6763,0.08564,0.00191,0.12,2000
"207",0.6755,3,333,1000,1,0.6682,0.08427,0.00188,-1.08,2000
"208",0.6755,4,250,1000,1,0.6781,0.08889,0.00199,0.39,2000
"209",0.6755,5,200,1000,1,0.676,0.0916,0.00205,0.08,2000
"210",0.6755,6,167,1000,1,0.6771,0.09586,0.00214,0.24,2000
"211",0.0201,2,1000,2000,1,0.0205,0.00944,0.00021,1.91,2000
"212",0.0201,3,667,2000,1,0.021,0.00956,0.00021,4.61,2000
"213",0.0201,4,500,2000,1,0.0206,0.00972,0.00022,2.44,2000
"214",0.0201,5,400,2000,1,0.0208,0.01008,0.00023,3.81,2000
"215",0.0201,6,333,2000,1,0.0213,0.01082,0.00024,5.95,2000
"216",0.0403,2,1000,2000,1,0.0404,0.01446,0.00032,0.21,2000
"217",0.0403,3,667,2000,1,0.0407,0.01461,0.00033,1.02,2000
"218",0.0403,4,500,2000,1,0.04,0.01521,0.00034,-0.57,2000
"219",0.0403,5,400,2000,1,0.0396,0.01568,0.00035,-1.63,2000
"220",0.0403,6,333,2000,1,0.0395,0.01634,0.00037,-1.83,2000
"221",0.1017,2,1000,2000,1,0.1023,0.02278,0.00051,0.53,2000
"222",0.1017,3,667,2000,1,0.1014,0.02263,0.00051,-0.3,2000
"223",0.1017,4,500,2000,1,0.1011,0.02425,0.00054,-0.64,2000
"224",0.1017,5,400,2000,1,0.1023,0.0255,0.00057,0.61,2000
"225",0.1017,6,333,2000,1,0.1017,0.02731,0.00061,0.01,2000
"226",0.2071,2,1000,2000,1,0.2067,0.03337,0.00075,-0.2,2000
"227",0.2071,3,667,2000,1,0.2061,0.03229,0.00072,-0.52,2000
"228",0.2071,4,500,2000,1,0.2077,0.03287,0.00073,0.27,2000
"229",0.2071,5,400,2000,1,0.207,0.03613,0.00081,-0.05,2000
"230",0.2071,6,333,2000,1,0.2064,0.03788,0.00085,-0.38,2000
"231",0.4308,2,1000,2000,1,0.4275,0.04558,0.00102,-0.79,2000
"232",0.4308,3,667,2000,1,0.4299,0.04654,0.00104,-0.22,2000
"233",0.4308,4,500,2000,1,0.4294,0.04966,0.00111,-0.33,2000
"234",0.4308,5,400,2000,1,0.4304,0.05071,0.00113,-0.1,2000
"235",0.4308,6,333,2000,1,0.432,0.053,0.00119,0.27,2000
"236",0.6755,2,1000,2000,1,0.6744,0.06169,0.00138,-0.16,2000
"237",0.6755,3,667,2000,1,0.675,0.05972,0.00134,-0.07,2000
"238",0.6755,4,500,2000,1,0.6754,0.06154,0.00138,-0.01,2000
"239",0.6755,5,400,2000,1,0.6777,0.06404,0.00143,0.33,2000
"240",0.6755,6,333,2000,1,0.6769,0.06793,0.00152,0.22,2000
"241",0.0201,2,125,250,2,0.028,0.03486,0.00078,39.47,2000
"242",0.0201,3,83,250,2,0.0277,0.03545,0.00079,38.04,2000
"243",0.0201,4,62,250,2,0.0273,0.03605,0.00081,35.97,2000
"244",0.0201,5,50,250,2,0.0306,0.04103,0.00092,52.53,2000
"245",0.0201,6,42,250,2,0.0297,0.04033,9e-04,48.07,2000
"246",0.0403,2,125,250,2,0.046,0.05022,0.00112,14.13,2000
"247",0.0403,3,83,250,2,0.0488,0.05181,0.00116,21.06,2000
"248",0.0403,4,62,250,2,0.0476,0.05419,0.00121,18.1,2000
"249",0.0403,5,50,250,2,0.045,0.05483,0.00123,11.77,2000
"250",0.0403,6,42,250,2,0.0485,0.05701,0.00127,20.53,2000
"251",0.1017,2,125,250,2,0.1047,0.08574,0.00192,2.94,2000
"252",0.1017,3,83,250,2,0.1038,0.08734,0.00195,2,2000
"253",0.1017,4,62,250,2,0.1055,0.08945,0.002,3.69,2000
"254",0.1017,5,50,250,2,0.108,0.09518,0.00213,6.2,2000
"255",0.1017,6,42,250,2,0.1046,0.09297,0.00208,2.85,2000
"256",0.2071,2,125,250,2,0.2074,0.13136,0.00294,0.1,2000
"257",0.2071,3,83,250,2,0.2133,0.1344,0.00301,2.99,2000
"258",0.2071,4,62,250,2,0.2121,0.1315,0.00294,2.38,2000
"259",0.2071,5,50,250,2,0.2081,0.13467,0.00301,0.48,2000
"260",0.2071,6,42,250,2,0.2103,0.13449,0.00301,1.52,2000
"261",0.4308,2,125,250,2,0.4259,0.18148,0.0041,-1.16,1962
"262",0.4308,3,83,250,2,0.4416,0.19632,0.00439,2.49,2000
"263",0.4308,4,62,250,2,0.4321,0.19236,0.0043,0.3,2000
"264",0.4308,5,50,250,2,0.4389,0.20813,0.00465,1.88,2000
"265",0.4308,6,42,250,2,0.4423,0.21171,0.00473,2.67,2000
"266",0.6755,2,125,250,2,0.5892,0.17669,0.00438,-12.78,1626
"267",0.6755,3,83,250,2,0.6837,0.26059,0.00583,1.22,2000
"268",0.6755,4,62,250,2,0.6788,0.26457,0.00592,0.5,2000
"269",0.6755,5,50,250,2,0.6899,0.2563,0.00573,2.14,2000
"270",0.6755,6,42,250,2,0.6716,0.26303,0.00588,-0.58,2000
"271",0.0201,2,250,500,2,0.0257,0.02431,0.00054,28.14,2000
"272",0.0201,3,167,500,2,0.0252,0.02165,0.00048,25.72,2000
"273",0.0201,4,125,500,2,0.0264,0.0248,0.00055,31.73,2000
"274",0.0201,5,100,500,2,0.0253,0.02414,0.00054,26.16,2000
"275",0.0201,6,83,500,2,0.0258,0.02506,0.00056,28.45,2000
"276",0.0403,2,250,500,2,0.0448,0.03718,0.00083,11.26,2000
"277",0.0403,3,167,500,2,0.0444,0.03556,8e-04,10.36,2000
"278",0.0403,4,125,500,2,0.0442,0.03773,0.00084,9.64,2000
"279",0.0403,5,100,500,2,0.0431,0.03741,0.00084,7.02,2000
"280",0.0403,6,83,500,2,0.0437,0.03834,0.00086,8.39,2000
"281",0.1017,2,250,500,2,0.1039,0.06418,0.00144,2.12,2000
"282",0.1017,3,167,500,2,0.1021,0.06151,0.00138,0.34,2000
"283",0.1017,4,125,500,2,0.1014,0.06419,0.00144,-0.3,2000
"284",0.1017,5,100,500,2,0.1028,0.06161,0.00138,1.05,2000
"285",0.1017,6,83,500,2,0.1035,0.06791,0.00152,1.74,2000
"286",0.2071,2,250,500,2,0.208,0.08989,0.00201,0.42,2000
"287",0.2071,3,167,500,2,0.207,0.09243,0.00207,-0.09,2000
"288",0.2071,4,125,500,2,0.2058,0.0911,0.00204,-0.65,2000
"289",0.2071,5,100,500,2,0.2059,0.09741,0.00218,-0.58,2000
"290",0.2071,6,83,500,2,0.2089,0.09891,0.00221,0.87,2000
"291",0.4308,2,250,500,2,0.4359,0.13873,0.0031,1.18,1998
"292",0.4308,3,167,500,2,0.4266,0.13534,0.00303,-0.99,2000
"293",0.4308,4,125,500,2,0.4342,0.13907,0.00311,0.77,2000
"294",0.4308,5,100,500,2,0.4289,0.1396,0.00312,-0.44,2000
"295",0.4308,6,83,500,2,0.4315,0.14503,0.00324,0.16,2000
"296",0.6755,2,250,500,2,0.6407,0.14646,0.00342,-5.15,1833
"297",0.6755,3,167,500,2,0.6741,0.17405,0.00389,-0.21,2000
"298",0.6755,4,125,500,2,0.6747,0.18375,0.00411,-0.12,2000
"299",0.6755,5,100,500,2,0.6755,0.19285,0.00431,0,2000
"300",0.6755,6,83,500,2,0.6761,0.18789,0.0042,0.09,2000
"301",0.0201,2,500,1000,2,0.0234,0.01627,0.00036,16.37,2000
"302",0.0201,3,333,1000,2,0.0233,0.01577,0.00035,16.21,2000
"303",0.0201,4,250,1000,2,0.0243,0.01719,0.00038,21.33,2000
"304",0.0201,5,200,1000,2,0.0241,0.01732,0.00039,19.95,2000
"305",0.0201,6,167,1000,2,0.024,0.01734,0.00039,19.55,2000
"306",0.0403,2,500,1000,2,0.0417,0.02652,0.00059,3.54,2000
"307",0.0403,3,333,1000,2,0.0418,0.02699,6e-04,3.88,2000
"308",0.0403,4,250,1000,2,0.0424,0.02768,0.00062,5.22,2000
"309",0.0403,5,200,1000,2,0.0417,0.02779,0.00062,3.56,2000
"310",0.0403,6,167,1000,2,0.0424,0.02842,0.00064,5.34,2000
"311",0.1017,2,500,1000,2,0.0988,0.0445,0.001,-2.92,2000
"312",0.1017,3,333,1000,2,0.1021,0.04475,0.001,0.35,2000
"313",0.1017,4,250,1000,2,0.1026,0.04632,0.00104,0.82,2000
"314",0.1017,5,200,1000,2,0.1021,0.0459,0.00103,0.38,2000
"315",0.1017,6,167,1000,2,0.1022,0.04794,0.00107,0.48,2000
"316",0.2071,2,500,1000,2,0.2067,0.06312,0.00141,-0.22,2000
"317",0.2071,3,333,1000,2,0.2055,0.06467,0.00145,-0.82,2000
"318",0.2071,4,250,1000,2,0.2092,0.06537,0.00146,0.97,2000
"319",0.2071,5,200,1000,2,0.2084,0.06884,0.00154,0.62,2000
"320",0.2071,6,167,1000,2,0.2059,0.06841,0.00153,-0.59,2000
"321",0.4308,2,500,1000,2,0.4298,0.09767,0.00218,-0.25,2000
"322",0.4308,3,333,1000,2,0.4301,0.09637,0.00215,-0.18,2000
"323",0.4308,4,250,1000,2,0.4287,0.09897,0.00221,-0.49,2000
"324",0.4308,5,200,1000,2,0.4271,0.10001,0.00224,-0.86,2000
"325",0.4308,6,167,1000,2,0.4345,0.1003,0.00224,0.86,2000
"326",0.6755,2,500,1000,2,0.6654,0.11658,0.00265,-1.5,1932
"327",0.6755,3,333,1000,2,0.6788,0.12843,0.00287,0.49,2000
"328",0.6755,4,250,1000,2,0.6756,0.12679,0.00284,0.02,2000
"329",0.6755,5,200,1000,2,0.6788,0.13225,0.00296,0.49,2000
"330",0.6755,6,167,1000,2,0.6801,0.13184,0.00295,0.68,2000
"331",0.0201,2,1000,2000,2,0.0212,0.01224,0.00027,5.51,2000
"332",0.0201,3,667,2000,2,0.0214,0.01232,0.00028,6.65,2000
"333",0.0201,4,500,2000,2,0.0214,0.01266,0.00028,6.73,2000
"334",0.0201,5,400,2000,2,0.0216,0.0129,0.00029,7.48,2000
"335",0.0201,6,333,2000,2,0.0221,0.01324,3e-04,9.97,2000
"336",0.0403,2,1000,2000,2,0.0401,0.01977,0.00044,-0.48,2000
"337",0.0403,3,667,2000,2,0.0395,0.01961,0.00044,-1.88,2000
"338",0.0403,4,500,2000,2,0.0411,0.02026,0.00045,2.05,2000
"339",0.0403,5,400,2000,2,0.0409,0.01996,0.00045,1.57,2000
"340",0.0403,6,333,2000,2,0.0405,0.02083,0.00047,0.56,2000
"341",0.1017,2,1000,2000,2,0.1013,0.03113,7e-04,-0.4,2000
"342",0.1017,3,667,2000,2,0.1018,0.03181,0.00071,0.12,2000
"343",0.1017,4,500,2000,2,0.1021,0.03299,0.00074,0.41,2000
"344",0.1017,5,400,2000,2,0.1009,0.03405,0.00076,-0.84,2000
"345",0.1017,6,333,2000,2,0.102,0.03441,0.00077,0.28,2000
"346",0.2071,2,1000,2000,2,0.2084,0.04665,0.00104,0.59,2000
"347",0.2071,3,667,2000,2,0.2051,0.0441,0.00099,-1.01,2000
"348",0.2071,4,500,2000,2,0.2069,0.04768,0.00107,-0.14,2000
"349",0.2071,5,400,2000,2,0.2079,0.04809,0.00108,0.35,2000
"350",0.2071,6,333,2000,2,0.2073,0.04992,0.00112,0.06,2000
"351",0.4308,2,1000,2000,2,0.4292,0.06705,0.0015,-0.37,2000
"352",0.4308,3,667,2000,2,0.4301,0.06725,0.0015,-0.16,2000
"353",0.4308,4,500,2000,2,0.429,0.06757,0.00151,-0.42,2000
"354",0.4308,5,400,2000,2,0.4291,0.07064,0.00158,-0.41,2000
"355",0.4308,6,333,2000,2,0.4334,0.07469,0.00167,0.6,2000
"356",0.6755,2,1000,2000,2,0.6728,0.08568,0.00192,-0.4,1986
"357",0.6755,3,667,2000,2,0.6719,0.08653,0.00193,-0.53,2000
"358",0.6755,4,500,2000,2,0.6783,0.08852,0.00198,0.42,2000
"359",0.6755,5,400,2000,2,0.6767,0.09113,0.00204,0.18,2000
"360",0.6755,6,333,2000,2,0.6739,0.0924,0.00207,-0.24,2000
